"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
,43772.107645061675,0.0,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,0.11122327728733097,0.1278847671799213,0.1776730712569496,0.1366905341639949,0.08595483317257428,0.08838983461845774,0.19615917532690616,0.1404105251961131,0.13434357984086767,0.0498192581243968,0.10397127909186411,0.14203202384475244,0.14261278369526884,0.09536854376377601,0.0522043624192761
"(0, 0, 0, 1, 0, 0)",43788.11964506168,16.012000000002445,43787.067645061674,43787.18764506168,,,,,43788.107645061675,,,,,,43789.16764506167,43789.067645061674,,0.04845909606485096,0.02446704679909195,,,,,0.07633723357206246,,,,,,0.055790875431577375,0.027362616635355032,
"(0, 1, 0, 1, 0, 0)",43831.26514506167,59.15749999999389,43832.14764506167,43830.18764506168,43831.147645061676,,43832.18764506167,43831.067645061674,,,,,43831.147645061676,43831.107645061675,,43831.12764506167,,0.015777201930684378,0.013792704438571371,0.06133582060111676,,0.01415731428962777,0.021645457894705143,,,,,0.04548806476573568,0.03591482999667589,,0.05221612850533821,
"(1, 0, 0, 0, 0, 0)",43852.007645061676,79.90000000000146,43853.08764506167,43853.08764506168,43853.08764506168,43851.12764506167,43853.08764506167,43851.04764506168,43851.08764506168,43851.067645061674,43852.04764506168,43851.107645061675,43853.107645061675,43852.02764506167,43851.06764506168,43853.067645061674,43851.007645061676,0.13543514479894728,0.04046017665019492,0.07236764919993918,0.16835600460571817,0.028517608893905602,0.09803266129477202,0.223304332137594,0.03637255275417373,0.06216369062482568,0.04773252103432975,0.07841241293503363,0.1627787825713424,0.16082596330703638,0.033199416426805586,0.03256405670833022
"(1, 0, 0, 1, 0, 0)",43868.060978395006,95.9533333333311,43868.02764506167,,43870.06764506168,43869.147645061676,,43867.04764506168,43867.067645061674,43867.94764506167,,43868.08764506167,,43867.067645061674,43868.08764506167,,,0.10240893620142456,,0.02302178155428729,0.12659026985244778,,0.03139246880863832,0.13317052327627327,0.015021778835458357,,0.09108976198096642,,0.04111887264926457,0.13026830444451037,,
"(1, 0, 2, 0, 0, 0)",43880.11764506168,108.01000000000204,,,,,,,,,,,,,43879.18764506168,,43881.04764506168,,,,,,,,,,,,,0.040826873723800124,,0.013826392281164683
"(1, 1, 0, 1, 0, 0)",43910.857645061675,138.75,,,,,,43911.107645061675,43912.08764506168,,,,43910.12764506167,43910.107645061675,,,,,,,,,0.036478559054267515,0.04772013136464372,,,,0.022907083089517256,0.051757683908488415,,,
"(2, 0, 0, 1, 0, 0)",43949.08050220453,176.9728571428568,43951.02764506167,43948.90764506168,43949.84764506168,43948.02764506167,43948.88764506167,43949.90764506168,43947.02764506168,43947.90764506167,43948.88764506167,43950.04764506168,43949.927645061674,,43947.967645061675,43948.88764506167,43949.86764506168,0.08499143106795064,0.14865106617384025,0.13167931410059394,0.09579003394365526,0.10418584629175869,0.07079438770330464,0.06106155350385116,0.14064749925061437,0.13396205488817517,0.07540035550114776,0.05529516498573847,,0.06364377117314465,0.09884311476305391,0.08710068989573225
"(2, 0, 1, 1, 0, 0)",43962.97431172834,190.8666666666686,43963.96764506167,,43961.90764506168,,,,,,,,,,43963.04764506168,,,0.055931232832649835,,0.029380745362309644,,,,,,,,,,0.03455495358679684,,
"(2, 1, 1, 1, 0, 0)",44004.90764506167,232.79999999999563,,,,44004.927645061674,,,,,,44003.98764506167,,44005.82764506167,44004.88764506167,,,,,,0.13972993527634706,,,,,,0.07653523570291697,,0.03129659729079236,0.14008608226109284,,
"(3, 0, 1, 0, 1, 0)",44008.87964506168,236.77200000000448,44006.90764506167,44008.88764506167,44010.88764506168,,44008.90764506167,44008.86764506168,,44007.827645061676,44009.86764506168,,44007.88764506167,,,44008.88764506167,44009.86764506168,0.1276702801979896,0.05894246682431217,0.07831369262632294,,0.04236725111184066,0.03804502580469317,,0.046864130756817626,0.0918762976738583,,0.025269727246709835,,,0.0916021376062211,0.1074779620228341
"(3, 0, 0, 1, 0, 0)",44028.19309960713,256.08545454545674,,44029.88764506167,44028.84764506168,,44028.80764506167,44027.80764506168,44028.90764506168,44028.827645061676,44027.827645061676,,44027.827645061676,44026.747645061674,,44027.82764506167,44026.80764506168,,0.0995320044690613,0.1396659567019094,,0.1501504160276294,0.13537587897367123,0.05556206900432749,0.14762139060110738,0.205632092268856,,0.08619968926094362,0.11772692784863598,,0.09889186318099016,0.1345421328554231
"(3, 0, 0, 0, 0, 1)",44034.402645061666,262.294999999991,,,,,,,,,,44035.98764506167,44033.86764506167,,44032.88764506167,44034.86764506167,,,,,,,,,,,0.010509312360856227,0.046932365316793186,,0.04105503702898735,0.016540907919866264,
"(2, 2, 1, 1, 0, 0)",44045.816216490246,273.7085714285713,,44046.84764506168,,,44045.84764506167,44044.827645061676,,44045.80764506167,44044.747645061674,,,,,44045.82764506167,44046.80764506168,,0.07964033178790803,,,0.04419792373706381,0.04414246200626337,,0.06746210839556507,0.03393397129741028,,,,,0.057974292808925,0.03370728454796309
"(3, 0, 0, 1, 0, 1)",44049.934311728335,277.82666666666046,44049.96764506167,,,,,,,,,44049.967645061675,44049.86764506167,,,,,0.027153921214904127,,,,,,,,,0.055667989741166136,0.043153552624981426,,,,
